sold_date,address,city,state,zip,price,lot_size,acres,price_per_acre,redfin_url,mls,lat,long,status,parcel_number,regrid_url
,Wild Wings Ln,Thurmond,NC,28683," $63,000.00 ",4919231,112.9300046, $557.87 ,https://www.redfin.com/NC/Thurmond/Wild-Wings-Ln-28683/home/65456845,,36.395656,-80.848901,Not Reviewed,,
,Westridge Dr,Mount Airy,NC,27030," $85,000.00 ",3985740,91.5, $928.96 ,https://www.redfin.com/NC/Mount-Airy/Westridge-Dr-27030/home/147094229,,36.524123,-80.668731,Not Reviewed,,
,Fisher Valley Rd,Dobson,NC,27017," $138,500.00 ",6091430,139.8399908, $990.42 ,https://www.redfin.com/NC/Dobson/Fisher-Valley-Rd-27017/home/147089207,,36.440734,-80.809464,Not Reviewed,,
,Cooper Shop Trl,Lowgap,NC,27024," $49,000.00 ",2112660,48.5," $1,010.31 ",https://www.redfin.com/NC/Lowgap/Cooper-Shop-Trl-27024/home/147080944,,36.534562,-80.89084,Not Reviewed,,
,Pipestem Trl,Elkin,NC,28621," $120,000.00 ",2657160,61," $1,967.21 ",https://www.redfin.com/NC/Elkin/Pipestem-Trl-28621/home/147091209,,36.288234,-80.802352,Not Reviewed,,
,Athey Simmons Rd,Mount Airy,NC,27030," $50,500.00 ",990990,22.75," $2,219.78 ",https://www.redfin.com/NC/Mount-Airy/Athey-Simmons-Rd-27030/home/147096065,,36.518668,-80.508277,Not Reviewed,,
February-22-2023,237 Athey Simmons Rd,Mount Airy,NC,27030," $73,500.00 ",1393920,32," $2,296.88 ",https://www.redfin.com/NC/Mt-Airy/237-Athey-Simmons-Rd-27030/home/184162441,1022723,36.5131958,-80.5101793,Not Reviewed,,
March-15-2023,44 AC Confederate Trl,Lowgap,NC,27024," $110,000.00 ",1916640,44," $2,500.00 ",https://www.redfin.com/NC/Unknown/44-AC-Confederate-Trl-27024/home/179050530,3851575,36.551315,-80.797794,Not Reviewed,,
March-3-2023,1041 Red Hill Creek Rd,Dobson,NC,27017," $82,500.00 ",1157389,26.56999541," $3,105.01 ",https://www.redfin.com/NC/Dobson/1041-Red-Hill-Creek-Rd-27017/home/180639050,1078347,36.4448141,-80.841162,Not Reviewed,,
March-27-2023,0 Imogene Church Rd,Mount Airy,NC,27030," $150,000.00 ",1742400,40," $3,750.00 ",https://www.redfin.com/NC/Mount-Airy/Imogene-Church-Rd-27030/home/147078704,1087828,36.543679,-80.715997,Not Reviewed,,
December-9-2022,0000 White Pines Country Club Rd,Mount Airy,NC,27030," $110,000.00 ",1231876,28.27998163," $3,889.68 ",https://www.redfin.com/NC/Mount-Airy/White-Pines-Country-Club-Rd-27030/home/147079604,1085915,36.546968,-80.656672,Not Reviewed,,
,Quaker Church Rd,Siloam,NC,27047," $83,000.00 ",904741,20.76999541," $3,996.15 ",https://www.redfin.com/NC/Siloam/Quaker-Church-Rd-27047/home/176678486,,36.300024,-80.537465,Not Reviewed,,
,Money Rd,Dobson,NC,27017," $252,000.00 ",2439360,56," $4,500.00 ",https://www.redfin.com/NC/Dobson/Money-Rd-27017/home/147079132,,36.40941,-80.775342,Not Reviewed,,
,Money Rd,Dobson,NC,27017," $250,000.00 ",2259022,51.86000918," $4,820.67 ",https://www.redfin.com/NC/Dobson/Money-Rd-27017/home/147079137,,36.419981,-80.772541,Not Reviewed,,
,Wayne Marshall Rd,Elkin,NC,28621," $150,000.00 ",1324224,30.4," $4,934.21 ",https://www.redfin.com/NC/Elkin/Wayne-Marshall-Rd-28621/home/147091593,,36.308596,-80.77734,Not Reviewed,,
,158 Emma Ln,Elkin,NC,28621," $285,000.00 ",2428906,55.76000918," $5,111.19 ",https://www.redfin.com/NC/Elkin/158-Emma-Ln-28621/home/65457106,,36.343047,-80.808905,Not Reviewed,,
December-14-2022,00 Surry Gadsberry Rd #25,Pilot Mountain,NC,27041," $140,000.00 ",1089000,25," $5,600.00 ",https://www.redfin.com/NC/Pilot-Mountain/25-Surry-Gadsberry-Rd-27041/unit-25/home/179316977,1068339,36.4228381,-80.4986247,Not Reviewed,,
,Nursery Ln,Ararat,NC,27007," $120,000.00 ",930442,21.36000918," $5,617.98 ",https://www.redfin.com/NC/Ararat/Nursery-Ln-27007/home/147097334,,36.367044,-80.587308,Not Reviewed,,
December-15-2022,23 Westridge Dr,Mount Airy,NC,27030," $140,000.00 ",1001880,23," $6,086.96 ",https://www.redfin.com/NC/Mt-Airy/23-Westridge-Dr-27030/home/179950123,1073846,36.5269464,-80.6726283,Not Reviewed,,
,Riverbank Trail Rd,Mount Airy,NC,27030," $289,500.00 ",1843459,42.31999541," $6,840.74 ",https://www.redfin.com/NC/Mount-Airy/Riverbank-Trail-Rd-27030/home/182640723,,36.4906,-80.6268,Not Reviewed,,
May-22-2023,5142 Rockford Rd,Dobson,NC,27017," $190,000.00 ",1148241,26.35998623," $7,207.89 ",https://www.redfin.com/NC/Dobson/5142-Rockford-Rd-27017/home/65459582,1101183,36.2693291,-80.6520923,Not Reviewed,,
December-28-2022,TBD N Elkin Dr,Elkin,NC,28621," $160,000.00 ",914760,21," $7,619.05 ",https://www.redfin.com/NC/Elkin/TBD-N-Elkin-Dr-28621/home/182575788,1088745,36.284362,-80.850041,Not Reviewed,,
,245 Brentons Ridge Trl,State Road,NC,28676," $200,000.00 ",1089000,25," $8,000.00 ",https://www.redfin.com/NC/State-Road/245-Brentons-Ridge-Trl-28676/home/147080608,,36.3522669,-80.8812971,Not Reviewed,,
March-30-2023,288 E Collins Ln,Dobson,NC,27017," $200,000.00 ",1010156,23.18999082," $8,624.41 ",https://www.redfin.com/NC/Dobson/288-E-Collins-Ln-27017/home/65457935,1071633,36.3960484,-80.6996112,Not Reviewed,,
