County	State	property_count	population_2015	square_miles	people/sqmiles
Autauga County	Alabama	"32,525"	"55,246"	604	91
Baldwin County	Alabama	"146,556"	"195,540"	"2,027"	96
Barbour County	Alabama	"24,839"	"22,512"	905	30
Bibb County	Alabama	"24,839"	"27,076"	626	36
Blount County	Alabama	"43,230"	"57,872"	651	89
Bullock County	Alabama	"10,523"	"10,639"	625	17
Butler County	Alabama	"21,011"	"20,265"	778	26
Calhoun County	Alabama	"72,734"	"116,736"	612	191
Chambers County	Alabama	"26,381"	"34,162"	603	57
Cherokee County	Alabama	"37,393"	"26,203"	600	44
Chilton County	Alabama	"31,517"	"43,951"	701	63
Choctaw County	Alabama	"23,498"	"13,426"	921	15
Clarke County	Alabama	"31,404"	"25,207"	1253	20
Clay County	Alabama	"16,920"	"13,486"	606	22
Cleburne County	Alabama	"16,231"	"14,994"	561	27
Coffee County	Alabama	"35,639"	"50,938"	680	75
Colbert County	Alabama	"42,754"	"54,520"	622	88
Conecuh County	Alabama	"18,657"	"12,887"	853	15
Coosa County	Alabama	"30,235"	"10,898"	666	16
Covington County	Alabama	"33,979"	"37,886"	"1,044"	36
Crenshaw County	Alabama	"17,698"	"13,986"	611	23
Cullman County	Alabama	"17,698"	"80,811"	755	107
Dale County	Alabama	"30,725"	"49,884"	563	89
Dallas County	Alabama	"31,414"	"41,996"	994	42
DeKalb County	Alabama	"51,568"	"71,013"	779	91
Elmore County	Alabama	"49,081"	"80,902"	657	123
Escambia County	Alabama	"32,015"	"37,983"	953	40
Etowah County	Alabama	"73,773"	"103,931"	549	189
Fayette County	Alabama	"22,412"	"16,909"	629	27
Franklin County	Alabama	"23,470"	"31,532"	647	49
Geneva County	Alabama	"24,412"	"26,727"	579	46
Greene County	Alabama	"11,774"	"8,744"	660	13
Hale County	Alabama	"17,145"	"15,406"	657	23
Henry County	Alabama	"20,155"	"17,296"	568	30
Houston County	Alabama	"59,077"	"103,668"	582	178
Jackson County	Alabama	"47,471"	"52,951"	1127	47
Jefferson County	Alabama	"374,521"	"659,479"	1124	587
Lamar County	Alabama	"20,355"	"14,236"	605	24
Lauderdale County	Alabama	"54,345"	"92,797"	721	129
Lawrence County	Alabama	"25,573"	"33,587"	717	47
Lee County	Alabama	"63,317"	"150,933"	616	245
Limestone County	Alabama	"52,404"	"88,845"	607	146
Lowndes County	Alabama	"13,182"	"10,703"	725	15
Macon County	Alabama	"19,764"	"19,688"	613	32
Madison County	Alabama	"177,313"	"346,892"	813	472
Marengo County	Alabama	"23,535"	"20,155"	983	21
Marion County	Alabama	"29,400"	"30,334"	744	41
Marshall County	Alabama	"60,429"	"94,760"	623	152
Mobile County	Alabama	"206,792"	"414,079"	1644	252
Monroe County	Alabama	"25,927"	"22,236"	1034	22
Montgomery County	Alabama	"100,330"	"226,659"	800	283
Morgan County	Alabama	"67,470"	"119,787"	599	200
Perry County	Alabama	"11,973"	"10,020"	724	14
Pickens County	Alabama	"24,034"	"19,401"	890	22
Pike County	Alabama	"23,641"	"33,339"	673	50
Randolph County	Alabama	"28,882"	"22,727"	584	39
Russell County	Alabama	"35,352"	"59,585"	647	92
Shelby County	Alabama	95472	"204,180"	810	252
St. Clair County	Alabama	"55,905"	"86,308"	654	132
Sumter County	Alabama	"16,348"	"13,361"	931	15
Talladega County	Alabama	"54,731"	"81,096"	760	107
Tallapoosa County	Alabama	"41,097"	"41,203"	766	54
Tuscaloosa County	Alabama	"107,333"	"200,821"	1351	149
Walker County	Alabama	"57,993"	"65,998"	805	82
Washington County	Alabama	"26,812"	"16,877"	1089	16
Wilcox County	Alabama	"16,868"	"11,307"	907	12
Winston County	Alabama	"31,224"	"24,146"	632	38
Aleutians East County	Alaska	n/a	"3,092"		
Aleutians West County	Alaska	n/a	"5,511"		
Anchorage County	Alaska	"84,216"	"300,950"	153	
Bethel County	Alaska	n/a	"17,758"		
Bristol Bay County	Alaska	n/a	960	1	
Denali County	Alaska	n/a	"1,867"	0	
Dillingham County	Alaska	"1,512"	"5,010"		
Fairbanks North Star County	Alaska	"58,871"	"100,436"	13	
Haines County	Alaska	"4,752"	"2,592"	1	
Hoonah-Angoon County	Alaska	n/a	"2,145"		
Juneau County	Alaska	"13,119"	"32,660"	10	
Kenai Peninsula County	Alaska	"64,314"	"57,147"	2	
Ketchikan Gateway County	Alaska	"6,366"	"13,729"	2	
Kodi Island County	Alaska	"10,517"	"14,135"		
Kusilv County	Alaska	n/a	"1,648"		
Lake and Peninsula County	Alaska	n/a	"95,192"	0	
Matanuska Susitna County	Alaska	"105,818"	"9,892"		
North Slope County	Alaska	n/a	"7,685"	0	
Northwest Arctic County	Alaska	n/a	"3,774"	0	
Petersburg County	Alaska	"15,032"	"5,786"	1	
Prince of Wales Hyder County	Alaska	n/a	"9,020"		
Sitka County	Alaska	"3,679"	995	2	
Skagway County	Alaska	n/a	"6,985"	2	
Southeast Fairbanks County	Alaska	n/a	"9,763"		
Valdez Cordova County	Alaska	n/a	"7,977"		
Wrangell County	Alaska	"2,350"	"2,400"	1	
Yakutat County	Alaska	"1,110"	642	0	
Yukon Koyukuk County	Alaska	n/a	"5,695"		
Apache County	Arizona	"43,092"	"71,934"	"11,218"	6
Cochise County	Arizona	"127,102"	"129,473"	"6,219"	21
Coconino County	Arizona	"75,294"	"136,539"	"18,661"	7
Gila County	Arizona	"32,995"	"53,053"	"4,795"	11
Graham County	Arizona	"17,651"	"37,482"	"4,641"	8
Greenlee County	Arizona	"4,880"	"9,049"	"1,848"	5
La Paz County	Arizona	n/a	"20,324"	"4,514"	5
Maricopa County	Arizona	"1,590,529"	"4,009,412"	"9,224"	435
Mohave County	Arizona	"259,004"	"203,030"	"13,461"	15
Navajo County	Arizona	"7,113"	"107,322"	"9,960"	11
Pima County	Arizona	"10,043"	"996,554"	"9,189"	108
Pinal County	Arizona	"237,312"	"389,350"	"5,374"	72
Santa Cruz County	Arizona	"43,170"	"46,768"	"1,238"	38
Yavapai County	Arizona	"36,132"	"215,133"	"8,128"	26
Yuma County	Arizona	"87,735"	"201,201"	"5,519"	36
Arkansas County	Arkansas	"15,982"	"18,777"	"1,034"	18
Arkansas County	Arkansas	"15,982"	"18,777"	"1,034"	18
Ashley County	Arkansas	"18,644"	"21,283"	941	23
Ashley County	Arkansas	"18,644"	"21,283"	941	23
Baxter County	Arkansas	"37,505"	"40,957"	587	70
Baxter County	Arkansas	"37,505"	"40,957"	587	70
Benton County	Arkansas	"150,054"	"237,297"	884	268
Benton County	Arkansas	"150,054"	"237,297"	884	268
Boone County	Arkansas	"24,284"	"37,396"	602	62
Boone County	Arkansas	"24,284"	"37,396"	602	62
Bradley County	Arkansas	"12,214"	"11,249"	653	17
Bradley County	Arkansas	"12,214"	"11,249"	653	17
Calhoun County	Arkansas	"9,949"	"5,241"	632	8
Calhoun County	Arkansas	"9,949"	"5,241"	632	8
Carroll County	Arkansas	"24,388"	"27,808"	639	44
Carroll County	Arkansas	"24,388"	"27,808"	639	44
Chicot County	Arkansas	"15,038"	"11,335"	691	16
Chicot County	Arkansas	"15,038"	"11,335"	691	16
Clark County	Arkansas	"19,412"	"22,743"	883	26
Clark County	Arkansas	"19,412"	"22,743"	883	26
Clay County	Arkansas	"16,256"	"15,402"	641	24
Clay County	Arkansas	"16,256"	"15,402"	641	24
Cleburne County	Arkansas	"28,095"	"25,686"	592	43
Cleburne County	Arkansas	"28,095"	"25,686"	592	43
Cleveland County	Arkansas	"7,113"	"8,593"	599	14
Cleveland County	Arkansas	"7,113"	"8,593"	599	14
Columbia County	Arkansas	"10,043"	"24,164"	767	32
Columbia County	Arkansas	"10,043"	"24,164"	767	32
Conway County	Arkansas	"18,848"	"21,245"	567	37
Conway County	Arkansas	"18,848"	"21,245"	567	37
Craighead County	Arkansas	"49,521"	"101,488"	713	142
Craighead County	Arkansas	"49,521"	"101,488"	713	142
Crawford County	Arkansas	"36,132"	"61,640"	604	102
Crawford County	Arkansas	"36,132"	"61,640"	604	102
Crittenden County	Arkansas	"22,275"	"49,746"	636	78
Crittenden County	Arkansas	"22,275"	"49,746"	636	78
Cross County	Arkansas	"12,408"	"17,548"	622	28
Cross County	Arkansas	"12,408"	"17,548"	622	28
Dallas County	Arkansas	"9,777"	"7,933"	668	12
Dallas County	Arkansas	"9,777"	"7,933"	668	12
Desha County	Arkansas	"9,433"	"12,505"	820	15
Desha County	Arkansas	"9,433"	"12,505"	820	15
Drew County	Arkansas	"10,485"	"18,785"	836	22
Drew County	Arkansas	"10,485"	"18,785"	836	22
Faulkner County	Arkansas	"51,398"	"119,580"	664	180
Faulkner County	Arkansas	"51,398"	"119,580"	664	180
Franklin County	Arkansas	"15,228"	"18,034"	620	29
Franklin County	Arkansas	"15,228"	"18,034"	620	29
Fulton County	Arkansas	"17,083"	"12,304"	620	20
Fulton County	Arkansas	"17,083"	"12,304"	620	20
Garland County	Arkansas	"75,466"	"97,173"	735	132
Garland County	Arkansas	"75,466"	"97,173"	735	132
Grant County	Arkansas	"39,157"	"18,019"	633	28
Grant County	Arkansas	"39,157"	"18,019"	633	28
Greene County	Arkansas	"16,703"	"43,097"	580	74
Greene County	Arkansas	"16,703"	"43,097"	580	74
Hempstead County	Arkansas	"15,038"	"22,474"	741	30
Hempstead County	Arkansas	"15,038"	"22,474"	741	30
Hot Spring County	Arkansas	"20,640"	"33,500"	622	54
Hot Spring County	Arkansas	"20,640"	"33,500"	622	54
Howard County	Arkansas	"10,728"	"13,581"	595	23
Howard County	Arkansas	"10,728"	"13,581"	595	23
Independence County	Arkansas	"15,987"	"36,997"	772	48
Independence County	Arkansas	"15,987"	"36,997"	772	48
Izard County	Arkansas	"28,709"	"13,368"	584	23
Izard County	Arkansas	"28,709"	"13,368"	584	23
Jackson County	Arkansas	"14,028"	"17,615"	642	27
Jackson County	Arkansas	"14,028"	"17,615"	642	27
Jefferson County	Arkansas	"51,140"	"73,191"	914	80
Jefferson County	Arkansas	"51,140"	"73,191"	914	80
Johnson County	Arkansas	"15,956"	"25,846"	683	38
Johnson County	Arkansas	"15,956"	"25,846"	683	38
Lafayette County	Arkansas	"8,531"	"7,252"	545	13
Lafayette County	Arkansas	"8,531"	"7,252"	545	13
Lawrence County	Arkansas	"4,666"	"17,011"	592	29
Lawrence County	Arkansas	"4,666"	"17,011"	592	29
Lee County	Arkansas	"7,310"	"10,015"	620	16
Lee County	Arkansas	"7,310"	"10,015"	620	16
Lincoln County	Arkansas	"7,349"	"14,031"	572	25
Lincoln County	Arkansas	"7,349"	"14,031"	572	25
Little River County	Arkansas	"14,116"	"12,730"	565	23
Little River County	Arkansas	"14,116"	"12,730"	565	23
Logan County	Arkansas	"19,681"	"22,082"	732	30
Logan County	Arkansas	"19,681"	"22,082"	732	30
Lonoke County	Arkansas	"39,089"	"70,753"	803	88
Lonoke County	Arkansas	"39,089"	"70,753"	803	88
Madison County	Arkansas	"17,436"	"15,701"	837	19
Madison County	Arkansas	"17,436"	"15,701"	837	19
Marion County	Arkansas	"10,835"	"16,430"	640	26
Marion County	Arkansas	"10,835"	"16,430"	640	26
Miller County	Arkansas	"26,441"	"43,402"	638	68
Miller County	Arkansas	"26,441"	"43,402"	638	68
Mississippi County	Arkansas	"30,329"	"44,765"	920	49
Mississippi County	Arkansas	"30,329"	"44,765"	920	49
Monroe County	Arkansas	"9,409"	"7,682"	621	12
Monroe County	Arkansas	"9,409"	"7,682"	621	12
Montgomery County	Arkansas	"11,144"	"9,226"	800	12
Montgomery County	Arkansas	"11,144"	"9,226"	800	12
Nevada County	Arkansas	"67,819"	"8,799"	621	14
Nevada County	Arkansas	"67,819"	"8,799"	621	14
Newton County	Arkansas	"6,465"	"8,064"	823	10
Newton County	Arkansas	"6,465"	"8,064"	823	10
Ouachita County	Arkansas	"16,746"	"25,002"	740	34
Ouachita County	Arkansas	"16,746"	"25,002"	740	34
Perry County	Arkansas	"18,665"	"10,345"	561	18
Perry County	Arkansas	"18,665"	"10,345"	561	18
Phillips County	Arkansas	"7,276"	"20,399"	727	28
Phillips County	Arkansas	"7,276"	"20,399"	727	28
Pike County	Arkansas	"10,812"	"11,177"	614	18
Pike County	Arkansas	"10,812"	"11,177"	614	18
