County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile
Autauga County	Alabama	875	637	238	70	36	212	185	50	0.37	1.12	0.38	0.72	0.08	8002	991	3121	0.124	0.39	0.88	0.68	0.67	479.8	-0.38	726	0.7	55869	1096	2	92.4
Baldwin County	Alabama	8097	5402	2695	930	378	2678	1907	1205	0.5	1.01	0.49	0.31	0.139	38984	6143	12890	0.158	0.331	1.19	1.17	1.16	174.8	3.15	398	1.42	223234	40122	18	110.1
Barbour County	Alabama	677	612	65	8	5	224	154	72	0.11	0.29	0.05	0.07	0.048	12726	2459	5429	0.193	0.427	0.6	0.59	0.59	239.9	3.68	1647	-0.19	24686	-2641	-10.7	27.3
Bibb County	Alabama	267	177	90	19	7	69	47	19	0.51	1.3	0.4	0.37	0.022	8058	873	3363	0.108	0.417	0.4	0.36	0.36	204.4	-0.18	1722	-0.24	22394	-476	-2.1	35.8
Blount County	Alabama	1128	809	319	79	42	291	199	139	0.39	1.1	0.4	0.3	0.039	20841	1148	6146	0.055	0.295	0.77	0.7	0.67	258	0.42	1149	0.23	57826	450	0.8	88.9
Bullock County	Alabama	205	140	65	6	4	44	30	17	0.46	1.48	0.2	0.24	0.027	5155	1046	3340	0.203	0.648	0.29	0.22	0.22	125.5	2.14	2266	-0.76	10101	-775	-7.7	16.1
Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427	-0.96	19448	-1484	-7.6	25
Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277	0.11	113605	-4803	-4.2	185.5
Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760	-0.28	33254	-868	-2.6	55.1
Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878	0.51	26196	233	0.9	43.7
Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210	-0.32	1111	0.27	44428	775	1.7	63.4
Choctaw County	Alabama	72	39	33	0	0	0	0	0	0.85	33	0	0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116	7.86	892	0.5	12589	-1260	-10	13.7
Clarke County	Alabama	251	196	55	3	2	43	29	9	0.28	1.28	0.1	0.22	0.014	13843	2182	5216	0.158	0.377	0.48	0.42	0.42	232.8	5.25	874	0.52	23622	-2144	-9.1	18.9
Clay County	Alabama	643	455	188	58	29	87	48	26	0.41	2.16	1.21	1.12	0.055	8294	1197	3521	0.144	0.425	0.59	0.55	0.56	182.5	1.26	1293	0.09	13235	-663	-5	21.8
Cleburne County	Alabama	473	355	118	51	23	88	39	25	0.33	1.34	1.31	0.92	0.044	8044	1746	2781	0.217	0.346	0.61	0.55	0.55	212.7	14.13	1260	0.12	14910	-94	-0.6	26.6
Coffee County	Alabama	1135	844	291	38	17	264	229	86	0.34	1.1	0.17	0.2	0.065	12917	1633	3758	0.126	0.291	0.59	0.51	0.52	253.7	0.98	1681	-0.22	52342	2134	4.1	76.9
Colbert County	Alabama	843	717	126	57	18	299	146	78	0.18	0.42	0.39	0.23	0.044	16438	1984	4831	0.121	0.294	0.83	0.8	0.8	346.4	-2.58	956	0.43	55241	717	1.3	88.6
Conecuh County	Alabama	303	224	79	11	8	48	45	35	0.35	1.65	0.24	0.23	0.022	10234	2662	5859	0.26	0.573	0.36	0.35	0.35	189.1	-2.77	2392	-0.92	12067	-1169	-9.7	14.2
Coosa County	Alabama	515	417	98	15	4	105	82	67	0.24	0.93	0.18	0.06	0.052	8022	1440	5236	0.18	0.653	0.39	0.37	0.37	239.7	12.21	616	0.89	10663	-1117	-10.5	16
Covington County	Alabama	1233	903	330	73	34	377	339	278	0.37	0.88	0.22	0.12	0.076	11830	2604	4154	0.22	0.351	0.61	0.56	0.55	243.3	2.26	1494	-0.07	37049	-760	-2.1	35.5
Crenshaw County	Alabama	471	401	70	3	2	38	27	11	0.17	1.84	0.11	0.18	0.047	8509	1761	4135	0.207	0.486	0.45	0.44	0.44	244.5	6.7	2000	-0.49	13772	-97	-0.7	22.5
Cullman County	Alabama	2560	1836	724	298	208	878	612	413	0.39	0.82	0.49	0.5	0.099	18504	1123	4291	0.061	0.232	0.77	0.74	0.75	176.6	3.09	921	0.46	83768	3312	4	111
Dale County	Alabama	718	541	177	63	37	195	154	53	0.33	0.91	0.41	0.7	0.044	12273	1382	3813	0.113	0.311	0.56	0.54	0.54	213.2	-4.03	1607	-0.16	49172	-1222	-2.5	87.4
Dallas County	Alabama	366	293	73	8	7	47	37	21	0.25	1.55	0.22	0.33	0.022	13097	2051	5646	0.157	0.431	0.57	0.51	0.51	365.5	-0.17	2020	-0.51	37196	-6658	-17.9	37.4
DeKalb County	Alabama	960	585	375	130	70	303	200	141	0.64	1.24	0.65	0.5	0.044	13392	1255	2938	0.094	0.219	0.56	0.5	0.5	342.5	1.47	2452	-0.99	71513	350	0.5	91.8
Elmore County	Alabama	1662	1310	352	105	53	705	653	347	0.27	0.5	0.16	0.15	0.084	15653	1417	5202	0.091	0.332	0.65	0.64	0.64	185.5	4	383	1.47	81209	1657	2	123.6
Escambia County	Alabama	1047	720	327	138	65	294	228	144	0.45	1.11	0.61	0.45	0.053	13616	2635	4316	0.194	0.317	0.45	0.44	0.43	263.1	-7.81	1726	-0.25	36633	-1712	-4.7	38.4
Etowah County	Alabama	1105	821	284	113	44	410	296	154	0.35	0.69	0.38	0.29	0.03	27485	2072	5507	0.075	0.2	0.62	0.6	0.59	374.6	3.16	869	0.52	102268	-2191	-2.1	186.4
Fayette County	Alabama	324	227	97	29	13	81	70	27	0.43	1.2	0.41	0.48	0.018	12325	1707	5337	0.138	0.433	0.42	0.39	0.39	148.1	24.44	1767	-0.28	16302	-927	-5.7	25.9
Franklin County	Alabama	503	399	104	42	15	131	86	56	0.26	0.79	0.49	0.27	0.04	10016	1123	2758	0.112	0.275	0.54	0.53	0.53	192.9	-3.43	1286	0.1	31362	-384	-1.2	48.5
Geneva County	Alabama	635	428	207	40	20	194	107	30	0.48	1.07	0.37	0.67	0.037	11547	1622	4316	0.14	0.374	0.4	0.38	0.38	159.6	1.3	1749	-0.27	26271	-506	-1.9	45.4
Greene County	Alabama	98	84	14	5	4	5	5	3	0.17	2.8	1	1.33	0.012	7115	1293	4222	0.182	0.593	0.28	0.27	0.27	152.8	-6.08	2025	-0.51	8111	-880	-10.8	12.3
Hale County	Alabama	358	276	82	8	5	55	29	18	0.3	1.49	0.28	0.28	0.029	9359	1199	4679	0.128	0.5	0.44	0.37	0.37	179.3	4.21	791	0.62	14651	-1094	-7.5	22.3
Henry County	Alabama	848	658	190	69	26	234	114	58	0.29	0.81	0.61	0.45	0.099	6616	1603	4122	0.242	0.623	0.65	0.65	0.65	210.8	0.31	1269	0.12	17205	-91	-0.5	30.3
Houston County	Alabama	1782	1325	457	151	74	434	191	131	0.34	1.05	0.79	0.56	0.089	14892	1806	3150	0.121	0.212	0.62	0.61	0.61	230.9	-1.63	1822	-0.34	105882	4084	3.9	182
