county_qualified_name	homes_sold	new_listings	inventory	median_dom	months_of_supply	state_code	county_name	months_averaged
Anchorage Borough, AK	225.0	328.0	243.5	10.5	1.1	AK	Anchorage Borough	1
Anchorage Borough, AK	190.0	269.25	234.0	21.0	1.27	AK	Anchorage Borough	3
Anchorage Borough, AK	235.57	232.57	274.43	19.57	1.2	AK	Anchorage Borough	6
Anchorage Borough, AK	328.62	348.23	380.08	15.08	1.18	AK	Anchorage Borough	12
Anchorage Borough, AK	323.56	355.25	363.88	15.94	1.13	AK	Anchorage Borough	18
Bethel Census Area, AK	1.0	1.0	7.0	59.0	7.0	AK	Bethel Census Area	1
Bethel Census Area, AK	1.0	1.0	7.0	59.0	7.0	AK	Bethel Census Area	3
Bethel Census Area, AK	1.0	1.0	7.0	59.0	7.0	AK	Bethel Census Area	6
Bethel Census Area, AK	1.0	1.0	7.0	59.0	7.0	AK	Bethel Census Area	12
Bethel Census Area, AK	1.0	1.0	7.0	59.0	7.0	AK	Bethel Census Area	18
Denali Borough, AK	1.0		4.0	89.0	4.0	AK	Denali Borough	1
Denali Borough, AK	1.0	1.0	3.0	67.5	3.0	AK	Denali Borough	3
Denali Borough, AK	1.0	1.0	2.67	60.33	2.67	AK	Denali Borough	6
Denali Borough, AK	1.0	1.0	2.67	92.75	2.67	AK	Denali Borough	12
Denali Borough, AK	1.0	1.0	2.67	92.75	2.67	AK	Denali Borough	18
Fairbanks North Star Borough, AK	82.5	126.5	179.0	76.0	2.2	AK	Fairbanks North Star Borough	1
Fairbanks North Star Borough, AK	67.75	95.25	209.25	80.25	3.35	AK	Fairbanks North Star Borough	3
Fairbanks North Star Borough, AK	91.14	83.29	242.29	80.43	2.93	AK	Fairbanks North Star Borough	6
Fairbanks North Star Borough, AK	118.77	121.92	322.77	75.08	2.85	AK	Fairbanks North Star Borough	12
Fairbanks North Star Borough, AK	117.44	121.19	317.25	82.62	2.81	AK	Fairbanks North Star Borough	18
Kenai Peninsula Borough, AK	44.0	89.5	158.5	23.5	3.6	AK	Kenai Peninsula Borough	1
Kenai Peninsula Borough, AK	35.5	68.0	148.0	33.75	4.4	AK	Kenai Peninsula Borough	3
Kenai Peninsula Borough, AK	48.14	56.86	160.29	31.43	3.71	AK	Kenai Peninsula Borough	6
Kenai Peninsula Borough, AK	69.85	90.0	182.85	21.69	3.02	AK	Kenai Peninsula Borough	12
Kenai Peninsula Borough, AK	67.94	87.5	170.19	22.38	2.82	AK	Kenai Peninsula Borough	18
Kodiak Island Borough, AK	1.0	5.5	5.5	112.0	5.5	AK	Kodiak Island Borough	1
Kodiak Island Borough, AK	2.0	4.0	5.5	75.75	4.5	AK	Kodiak Island Borough	3
Kodiak Island Borough, AK	3.29	3.57	7.29	77.57	3.4	AK	Kodiak Island Borough	6
